VP,Condition,Trial,CurrentTarget,Time,State,PlayerPositionX,PlayerPositionY,PlayerPositionZ, PlayerRotationX, PlayerRotationY, PlayerRotationZ, VRCameraPositionX, VRCameraPositionY, VRCameraPositionZ, VRCameraRotationX, VRCameraRotationY, VRCameraRotationZ,GazeObject
952,Normal,1,Right,20:34:28.637,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.659,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.716,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.730,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.737,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.762,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.768,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.784,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.791,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.808,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.813,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.829,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.840,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.852,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.861,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.875,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.881,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.897,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.903,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.918,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.927,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.942,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.948,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.964,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.971,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.986,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:28.995,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.009,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.016,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.031,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.038,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.054,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.061,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.077,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.084,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.099,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.111,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.119,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.133,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.145,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.158,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.166,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.181,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.194,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.201,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.216,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.223,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.239,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.247,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.263,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.270,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.285,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.293,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.308,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.315,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.330,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.337,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.351,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.360,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.375,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.384,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.397,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.409,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.419,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.431,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.444,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.454,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.467,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.479,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.487,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.501,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.513,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.523,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.536,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.549,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.558,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.571,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.580,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.595,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.603,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.618,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.626,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.641,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.648,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.663,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.676,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.683,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.698,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.705,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.721,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.729,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:29.744,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
